SA1_CODE_2021,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
20101100113,0,0,0,0,0,0,0,0,0,0,7,8,10,16,29,19,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,7,0,0,0,8,0,0,0,0,27,8,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,4,0,7,3,4,0,0,0,9,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,10,0,0,7,5,7,9,0,0,0,14,0,3,6,7,19,5,0,0,0,37,0,0,0,0,0,0,0,0,0,0
20101100114,0,0,5,0,0,0,0,0,0,5,10,21,24,14,24,23,5,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,4,0,8,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,5,0,0,0,28,0,0,0,0,0,0,0,0,0,5,10,5,7,0,0,4,0,0,0,29,10,5,4,5,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0,7,0,0,4,6,10,4,0,0,0,21,0,0,4,3,11,3,0,0,0,22,0,10,11,7,14,3,0,0,0,50,0,0,0,0,0,0,0,0,0,6
20101100118,0,0,0,0,0,0,0,0,0,0,15,3,10,20,23,9,3,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,3,3,4,0,0,0,0,11,0,0,0,0,4,3,0,0,0,7,6,0,6,9,3,0,0,0,0,24,13,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4,3,0,0,0,16,0,0,0,5,7,6,3,0,0,23,0,0,7,11,15,3,0,0,0,32,0,0,0,0,0,0,0,0,0,5
20101100119,0,0,0,0,0,0,0,0,0,8,28,18,24,52,56,30,5,0,0,215,0,0,0,5,4,0,0,0,0,14,0,0,0,3,0,0,0,0,0,3,8,0,0,11,14,7,0,0,0,40,0,0,0,0,4,0,0,0,0,4,0,4,15,17,24,8,0,0,0,71,0,0,0,4,4,0,0,0,0,11,13,8,6,4,12,6,0,0,0,48,23,0,0,3,0,6,0,0,0,30,0,5,0,0,3,3,4,0,0,11,0,0,0,0,3,0,0,0,0,3,0,0,0,8,3,0,0,0,0,10,0,0,0,3,0,0,0,0,0,5,0,0,3,3,7,3,3,0,0,21,0,0,0,3,0,0,0,0,0,6,0,0,0,6,4,8,0,0,0,20,0,3,8,10,21,9,4,0,0,47,0,3,9,22,19,17,3,0,0,73,0,0,0,0,0,0,0,0,0,0
20101100120,0,0,0,0,0,0,0,0,0,3,12,14,28,51,32,13,3,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,8,8,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3,6,3,4,0,0,0,0,21,0,0,0,3,0,0,0,0,0,9,6,5,8,9,3,0,0,0,0,39,12,0,4,3,0,0,0,0,0,19,0,0,0,0,0,5,0,0,0,11,0,0,0,0,3,0,0,0,0,4,0,0,0,3,3,0,0,0,0,14,0,0,5,3,4,0,0,0,0,10,0,0,3,5,0,0,0,0,0,14,0,0,0,3,4,0,0,0,0,9,0,0,3,10,0,0,0,0,0,12,0,4,3,4,3,0,3,0,0,21,3,6,14,33,17,7,0,0,0,79,0,0,0,0,0,0,0,0,0,4
20101100121,0,0,0,0,0,0,0,0,0,6,14,13,18,55,42,24,0,0,0,168,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,7,0,12,12,9,0,0,0,41,0,0,0,0,4,0,0,0,0,7,0,3,8,3,8,0,0,0,0,22,0,0,0,0,8,0,0,0,0,5,11,9,6,14,4,4,0,0,0,37,19,8,0,0,6,3,0,0,0,26,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,4,7,3,7,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,0,0,0,0,22,3,0,3,15,7,4,0,0,0,32,0,7,12,21,15,15,0,0,0,68,0,0,0,0,0,0,0,0,0,5
20101100124,0,0,0,0,0,0,0,0,0,0,18,12,5,34,38,17,0,0,0,128,0,0,0,0,3,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,5,3,0,5,4,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,23,0,0,0,0,0,5,0,0,0,9,7,0,0,5,4,0,0,0,0,23,16,0,0,3,4,5,0,0,0,28,0,0,0,3,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,6,0,0,0,3,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,0,0,0,8,0,0,0,3,0,0,0,0,0,9,0,0,0,5,5,4,0,0,0,12,0,0,0,7,10,5,0,0,0,24,0,10,0,15,14,11,0,0,0,53,0,4,0,0,0,0,0,0,0,3
20101100125,0,0,0,0,0,0,0,0,0,0,20,11,24,47,30,15,4,0,0,154,3,0,0,0,0,0,3,0,0,7,0,0,0,3,0,0,0,0,0,5,0,0,3,4,8,4,4,0,0,19,0,0,0,5,0,0,0,0,0,3,5,4,4,14,3,0,0,0,0,24,0,0,0,4,5,0,0,0,0,11,8,4,4,5,5,0,0,0,0,31,16,7,0,0,0,0,0,0,0,23,0,0,0,6,8,3,0,0,0,13,0,0,3,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,16,0,3,0,0,0,0,0,0,0,9,0,0,0,13,11,4,0,0,0,30,0,0,0,10,7,5,0,0,0,25,0,6,14,19,15,12,3,0,0,62,0,0,0,0,0,0,0,0,0,0
20101100126,0,0,3,0,0,0,0,0,0,8,12,13,20,35,48,38,7,0,0,173,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,9,0,0,0,29,0,0,0,0,0,3,0,0,0,5,0,6,7,6,5,4,0,0,0,24,0,0,0,0,4,5,0,0,0,6,5,0,0,4,6,4,0,3,0,24,13,0,4,12,0,0,0,0,0,28,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,9,0,0,0,0,16,0,0,0,0,0,0,3,0,0,5,0,0,3,9,13,0,0,0,0,27,0,0,0,0,0,3,0,0,0,7,0,0,0,0,4,8,0,0,0,19,4,0,0,3,19,3,4,0,0,39,0,4,8,17,22,22,3,0,0,82,0,0,0,0,0,0,0,0,0,0
20101100127,0,0,0,0,0,0,0,0,0,4,7,22,60,38,26,15,0,0,0,177,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,6,3,8,21,3,5,6,0,0,0,38,0,0,4,3,0,0,0,0,0,7,0,5,5,0,4,0,0,0,0,25,8,3,4,4,0,0,0,0,0,21,0,0,0,5,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,3,0,6,6,0,0,0,12,0,0,3,3,0,0,0,0,0,4,0,3,4,8,0,0,0,0,0,15,0,0,5,6,0,0,0,0,0,8,0,0,5,7,9,0,0,0,0,29,0,6,19,5,5,0,0,0,0,37,0,10,29,30,3,7,0,0,0,81,0,5,0,0,0,0,0,0,0,8
