CED_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
CED211,10,47,8,17,0,0,88,4,50,18,11,4,0,93,24,471,37,68,12,7,621,46,172,109,109,7,7,447,21,71,32,110,3,0,236,129,74,47,139,8,0,395,1556,66,43,452,30,10,2159,5050,56,21,640,50,9,5834,2502,16,5,266,22,0,2811,801,5,0,52,4,0,867,246,3,0,20,0,0,273,85,0,0,17,0,0,103,32,3,0,0,0,0,39,74,0,0,14,5,0,98,190,115,23,163,31,31,565,10774,1149,342,2082,194,70,14605
CED212,17,50,9,11,5,0,87,9,54,13,9,0,0,80,35,437,46,90,18,4,633,80,189,63,151,18,7,511,121,91,34,159,46,0,448,630,71,41,282,143,6,1173,2688,115,40,573,102,11,3522,4811,52,17,567,64,16,5529,1664,10,4,184,15,3,1878,400,0,3,43,0,0,451,182,6,0,28,0,0,212,86,0,0,15,0,0,104,51,0,0,4,0,0,49,117,0,0,14,0,0,138,255,74,14,163,28,39,562,11146,1162,273,2290,439,86,15391
CED213,15,29,5,26,17,0,85,4,45,0,8,7,0,65,26,356,14,71,26,12,508,50,129,17,117,43,0,356,44,53,16,120,32,0,267,272,68,16,252,157,3,768,1531,60,19,496,91,15,2208,3017,22,9,544,36,3,3635,1519,5,4,239,14,6,1780,613,0,0,72,8,6,696,287,0,0,38,0,0,325,110,3,0,16,0,0,135,72,0,0,8,0,0,85,122,0,0,23,9,6,148,141,74,12,161,60,22,468,7813,852,108,2192,485,80,11524
CED214,15,133,10,22,6,4,192,26,140,7,35,9,0,219,75,806,56,186,39,7,1172,165,357,103,277,42,11,952,325,162,57,174,47,7,771,1178,170,78,402,99,14,1942,4197,155,60,1201,259,31,5897,6160,86,25,847,188,18,7325,2479,18,11,332,36,0,2889,886,0,0,118,13,4,1026,334,5,0,44,3,0,387,139,0,0,7,4,0,149,42,0,0,8,0,0,55,138,3,0,39,12,0,190,295,165,35,316,99,74,992,16442,2224,457,3999,866,170,24157
CED215,18,34,0,21,0,0,72,13,65,6,12,0,0,101,37,300,21,65,10,4,425,57,139,57,108,28,4,393,90,82,44,76,17,4,306,281,59,47,163,70,5,623,2136,48,34,446,76,9,2745,7890,41,22,611,83,7,8652,2796,13,3,225,25,4,3071,1087,3,0,94,3,0,1196,499,5,0,52,0,0,555,198,0,0,20,0,0,221,93,0,0,8,0,0,103,162,0,0,23,3,0,192,295,79,12,200,58,52,699,15647,866,236,2133,379,86,19345
CED216,18,88,13,44,22,3,195,12,90,19,40,15,5,179,139,606,63,229,70,13,1123,700,281,101,439,78,11,1609,821,152,55,451,56,9,1539,1786,154,74,567,99,8,2698,2181,37,51,523,103,7,2908,1514,18,5,256,33,8,1827,294,9,10,40,7,0,355,29,3,3,8,0,0,37,11,3,0,0,0,0,18,0,0,0,5,0,0,7,0,0,0,3,0,0,10,8,0,0,13,9,0,32,128,121,26,186,87,38,590,7651,1555,425,2802,588,113,13139
CED217,13,53,10,19,0,0,97,10,44,9,7,0,0,71,24,361,33,69,11,0,500,39,122,64,93,18,0,337,41,62,25,81,9,0,218,298,60,47,124,7,3,546,1003,38,10,252,14,0,1313,2307,32,6,390,33,3,2769,2393,15,8,351,13,3,2777,1526,4,0,200,5,0,1737,1049,4,0,119,7,0,1180,750,0,3,125,4,0,874,602,0,0,67,0,0,672,1134,0,0,137,3,0,1276,224,54,12,156,33,35,519,11405,838,230,2204,163,53,14893
CED218,8,28,4,11,6,0,55,10,27,0,5,9,0,46,16,112,20,46,21,3,221,32,113,73,81,37,5,334,22,47,21,65,27,5,180,80,64,31,149,24,4,345,1271,43,27,540,87,13,1985,4703,39,12,617,94,14,5478,1215,10,0,118,26,4,1372,160,4,0,26,0,0,190,41,0,0,14,0,0,58,32,0,0,9,0,0,43,14,0,0,0,0,0,14,57,0,0,14,0,0,66,194,50,11,175,48,34,511,7840,523,199,1880,371,80,10885
CED219,15,21,3,12,9,0,64,4,38,0,11,6,0,58,35,235,18,63,7,5,357,48,125,70,97,14,5,370,61,54,17,129,6,0,267,519,55,35,235,21,3,874,3616,47,35,713,80,24,4511,4362,26,23,495,82,12,4997,564,6,0,100,10,7,687,105,0,0,23,0,0,137,43,0,0,7,6,0,54,19,0,0,5,3,0,22,14,0,0,6,0,0,18,42,0,0,14,0,0,52,204,44,18,144,35,28,480,9658,660,233,2049,283,84,12953
CED220,23,55,15,25,4,0,123,8,100,7,17,0,0,136,48,590,73,96,6,8,825,117,196,94,143,19,3,577,181,92,51,123,10,0,452,984,94,41,248,21,0,1387,3705,56,20,495,15,3,4301,6579,48,7,656,37,12,7343,4358,20,0,531,18,0,4936,2398,8,6,281,3,3,2680,1423,0,0,160,4,0,1597,941,0,0,116,5,4,1069,537,0,0,75,0,0,620,1037,0,0,133,5,0,1174,325,105,7,213,35,42,727,22668,1369,322,3312,196,87,27947
CED221,15,21,0,11,3,0,56,7,14,0,14,3,0,36,26,169,11,65,18,5,286,40,102,20,90,11,4,264,26,37,16,63,15,0,158,108,60,22,161,18,6,368,1841,79,15,537,64,8,2553,6727,27,17,736,157,16,7681,1158,5,0,144,19,3,1332,183,4,4,39,0,0,229,51,0,0,17,5,0,75,31,0,0,6,0,0,44,9,0,0,7,0,0,18,76,0,0,14,5,0,97,255,41,10,150,56,34,556,10557,560,129,2052,381,78,13752
CED222,19,57,7,18,5,0,109,20,87,8,23,8,0,144,80,554,50,156,35,9,885,171,191,58,274,95,0,794,171,117,14,147,46,0,502,632,105,34,274,59,9,1113,2829,82,31,733,155,17,3849,6743,96,36,886,231,16,8009,3266,18,15,394,57,7,3759,1187,6,4,136,18,3,1353,504,0,0,73,11,0,596,310,0,4,48,4,0,371,140,0,0,10,0,0,155,183,0,0,35,10,5,228,342,94,26,305,81,62,912,16602,1416,287,3529,818,123,22773
CED223,3,92,13,39,32,4,182,12,98,13,26,4,0,153,77,686,44,236,40,11,1090,488,323,80,399,79,10,1376,555,133,17,446,50,7,1217,1483,184,27,582,208,14,2489,2312,62,22,635,85,10,3130,2192,11,6,347,31,8,2597,440,6,0,73,11,0,523,62,0,0,17,0,0,81,17,0,0,7,0,0,28,13,0,3,3,5,0,17,5,0,0,5,0,0,10,20,0,0,21,9,0,55,151,138,18,168,105,36,621,7822,1747,248,2997,660,95,13565
CED224,17,36,5,8,3,0,77,5,48,11,14,3,0,76,19,322,35,73,21,4,469,54,116,72,115,43,3,395,64,65,35,101,14,0,277,338,59,27,164,53,4,649,1604,40,22,381,104,3,2157,3818,43,17,520,62,10,4470,2599,13,0,296,24,3,2933,1285,3,0,114,6,0,1416,614,0,0,39,0,0,652,259,0,0,24,0,0,282,92,0,0,6,0,0,104,142,0,0,25,6,0,178,226,74,19,156,47,32,563,11138,820,247,2032,393,69,14695
CED225,14,73,3,27,6,0,114,5,68,5,12,0,0,93,30,531,59,70,14,0,722,36,185,94,104,18,7,436,30,112,23,88,5,0,255,107,116,59,161,78,4,522,1150,87,23,361,82,5,1707,3899,114,17,521,40,7,4594,2310,40,4,255,24,0,2635,963,5,0,113,0,4,1083,305,6,0,39,0,0,349,132,0,0,23,0,0,154,47,0,0,9,0,0,56,95,0,3,19,3,0,119,148,151,26,120,36,27,512,9259,1477,334,1930,306,57,13360
CED226,12,17,5,23,9,0,58,7,9,10,16,0,0,49,36,109,46,68,11,0,265,93,19,47,102,4,3,268,141,24,33,95,9,0,295,262,14,22,127,7,0,435,1556,8,9,305,24,3,1902,4397,12,5,531,35,8,4985,3010,0,7,422,22,9,3461,1651,0,0,207,10,0,1868,1107,0,0,123,6,0,1246,775,0,0,80,5,0,865,494,0,0,50,9,0,554,921,0,0,115,5,5,1053,226,28,13,182,36,27,511,14702,236,191,2437,192,55,17817
CED227,10,18,4,16,4,0,54,3,16,5,9,7,0,39,18,104,11,57,18,4,216,33,49,20,100,19,0,212,30,21,9,85,26,0,175,154,20,16,165,54,0,411,2020,33,9,373,34,5,2479,5756,10,3,510,40,13,6339,1259,0,0,114,15,0,1393,205,0,0,30,4,0,242,66,0,0,6,3,0,75,33,0,0,3,0,0,39,12,0,0,0,0,0,15,52,0,0,12,6,0,77,224,33,6,115,39,21,445,9895,306,93,1599,261,53,12206
CED228,19,31,0,15,0,0,70,7,25,4,9,0,0,48,62,174,15,96,19,7,382,68,122,34,102,10,0,340,49,51,15,105,9,0,226,376,47,36,227,17,5,708,5030,70,32,823,96,19,6063,8540,39,12,624,127,22,9356,859,6,10,89,22,0,988,145,0,0,26,3,0,174,48,0,0,5,0,0,61,50,0,7,7,0,0,60,18,0,0,0,0,0,24,123,0,0,12,4,0,134,340,38,19,179,31,59,662,15734,598,184,2327,347,109,19298
CED229,43,73,11,13,5,0,145,9,128,17,16,0,0,174,64,875,70,113,7,5,1134,168,226,162,175,12,7,746,201,137,167,156,10,4,687,1051,111,108,313,20,3,1605,5038,87,51,653,41,3,5875,10263,45,31,949,46,16,11360,6872,17,10,792,41,15,7748,3498,3,0,441,14,3,3967,1920,0,0,234,6,9,2166,1156,3,0,142,3,0,1306,715,0,0,90,4,0,815,1313,0,0,191,14,3,1528,512,163,37,318,46,54,1137,32829,1892,662,4602,279,120,40388
CED230,10,106,27,113,98,9,362,27,164,40,96,58,9,391,273,678,97,542,226,24,1839,988,379,114,799,161,27,2458,965,151,31,641,104,11,1900,1807,133,42,686,107,18,2808,2100,52,41,561,111,18,2890,1130,19,18,301,59,5,1530,186,4,3,71,22,3,292,30,0,4,21,5,0,68,15,0,3,14,8,0,29,9,0,0,14,10,0,28,7,0,0,4,0,0,5,8,0,0,19,7,4,39,153,130,27,305,189,68,873,7704,1832,446,4192,1155,189,15517
CED231,21,108,7,19,0,0,152,12,181,9,10,0,0,213,28,842,38,75,10,9,1000,74,334,65,123,10,8,609,96,177,42,101,9,6,429,544,182,33,199,13,0,969,2610,167,38,464,29,7,3315,5389,89,29,601,58,8,6168,2848,14,6,324,19,3,3213,1332,4,0,119,8,5,1470,640,3,0,53,4,0,697,312,5,0,34,0,0,347,122,0,0,22,0,0,147,188,0,0,26,0,5,216,237,151,21,179,41,37,661,14446,2269,278,2349,200,76,19622
CED232,7,7,0,6,3,0,25,5,13,0,8,5,0,41,12,89,13,44,15,0,172,19,39,27,77,9,0,184,29,20,9,74,15,0,154,126,21,25,128,36,6,342,1048,21,19,356,24,0,1474,3844,16,10,424,40,6,4329,903,0,0,151,7,0,1064,288,0,0,34,0,0,316,91,0,0,27,0,3,111,40,0,0,9,0,0,48,23,0,0,3,0,0,21,45,0,0,3,4,0,55,140,19,9,117,29,14,335,6605,252,125,1461,204,33,8680
CED233,46,159,12,38,5,0,258,13,423,13,28,0,4,480,113,1646,127,153,26,17,2076,414,754,200,273,51,8,1697,533,352,143,270,41,4,1340,1816,351,128,460,61,3,2823,8080,309,95,904,93,10,9498,14476,215,74,1263,122,16,16169,8324,61,20,998,51,9,9459,4510,16,8,622,29,6,5185,2596,10,5,379,26,0,3012,1586,8,9,274,11,3,1879,839,4,5,131,5,0,975,1332,4,0,225,15,3,1579,639,280,47,428,65,73,1526,45320,4587,882,6435,597,156,57975
CED234,11,16,3,14,4,0,48,4,15,6,9,0,0,33,25,131,23,55,6,5,241,79,51,35,133,16,3,309,89,26,18,87,16,0,244,176,24,10,161,16,4,390,715,21,26,310,23,5,1100,4056,23,21,552,66,5,4722,3109,9,6,376,32,7,3546,1583,3,0,153,22,4,1762,758,0,0,55,3,0,828,306,5,0,29,0,0,339,127,0,0,9,4,0,142,165,0,0,37,6,0,207,244,29,13,254,38,24,610,11438,354,167,2235,258,56,14511
CED235,12,60,4,45,7,0,134,10,72,15,30,5,0,129,119,468,43,185,67,15,904,364,184,76,305,62,12,1005,352,76,37,368,38,3,875,1046,88,44,482,61,12,1731,2229,56,26,619,52,10,2994,2073,10,8,345,28,10,2479,382,5,0,81,5,0,465,56,0,0,18,0,0,79,15,0,0,4,0,0,16,3,0,0,3,0,0,10,5,0,0,5,0,0,11,23,0,0,26,0,0,48,114,81,17,196,78,23,507,6801,1106,265,2718,413,94,11397
CED236,19,77,9,45,18,4,169,10,102,12,34,24,0,183,152,686,68,296,148,18,1372,664,364,120,467,125,23,1757,674,206,50,520,90,9,1542,1751,175,44,652,235,12,2867,2289,84,54,635,175,19,3258,1645,34,12,332,77,14,2114,328,5,0,81,18,0,438,32,0,0,11,15,0,57,13,0,0,10,0,0,27,4,0,0,5,4,0,16,5,0,0,5,0,0,12,10,0,0,16,0,5,34,158,133,26,230,130,51,724,7751,1861,390,3354,1069,149,14580
CED237,19,22,7,17,3,0,62,7,16,0,14,3,0,50,28,124,14,73,14,4,252,37,112,21,92,13,0,286,39,60,20,65,10,4,196,126,57,37,149,40,4,406,2706,57,29,607,113,15,3525,6747,69,21,616,153,22,7619,1092,15,9,117,36,0,1268,164,3,0,23,6,0,196,39,0,0,14,4,0,58,32,4,0,4,0,0,35,18,0,0,4,0,0,26,99,0,0,12,6,0,115,274,70,12,205,47,31,639,11436,608,161,2001,453,82,14735
CED238,13,74,8,83,70,4,247,13,85,6,62,21,5,192,150,621,78,381,127,22,1382,443,260,70,544,100,17,1428,516,136,15,568,90,4,1330,1306,157,43,582,91,7,2193,1839,43,38,617,60,15,2610,1520,18,20,339,43,6,1945,349,11,3,98,13,0,474,93,0,5,19,5,0,119,17,0,0,9,0,0,35,4,0,0,6,4,0,8,4,0,0,4,0,0,6,5,0,0,29,3,0,43,102,114,16,217,193,35,689,6374,1511,306,3564,828,121,12702
CED239,11,53,13,8,0,0,82,11,85,8,20,0,0,130,41,484,33,108,15,4,681,129,161,47,160,22,3,528,156,72,28,152,5,3,414,614,80,27,233,46,0,995,3034,70,24,619,78,8,3833,7260,41,9,873,86,3,8274,3709,11,0,498,21,4,4247,1748,0,3,229,5,3,1989,866,0,0,101,4,0,971,378,0,0,73,3,0,453,173,3,0,30,0,0,208,225,0,0,31,4,0,259,289,107,11,204,58,48,715,18625,1168,205,3347,360,85,23790
CED294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
